,Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,Jerry Smith,6-2,190,Louisville,USA,1963,2,12,187.96,,,,,
1,Mark Jones,6-6,215,St. Bonaventure,USA,1983,4,82,198.12,,,,,
2,Hakeem Olajuwon,7-0,255,Houston,Nigeria,1984,1,1,213.36,,,,,
3,Kevin Willis,7-0,245,Michigan State,USA,1984,1,11,213.36,,,,,
4,John Stockton,6-1,175,Gonzaga,USA,1984,1,16,185.42,,,,,
5,Michael Jordan,6-6,216,North Carolina,USA,1984,1,3,198.12,,,,,
6,Sam Perkins,6-9,260,North Carolina,USA,1984,1,4,205.74,,,,,
7,Otis Thorpe,6-10,248,Providence,USA,1984,1,9,208.28,,,,,
8,Patrick Ewing,7-0,255,Georgetown,Jamaica,1985,1,1,213.36,,,,,
9,Karl Malone,6-9,256,Louisiana Tech,USA,1985,1,13,205.74,,,,,
10,Mario Elie,6-5,225,American International,USA,1985,7,160,195.58,,,,,
11,A.C. Green,6-9,225,Oregon State,USA,1985,1,23,205.74,,,,,
12,Terry Porter,6-3,205,Wisconsin-Stevens Point,USA,1985,1,24,190.5,,,,,
13,Sam Mitchell,6-7,215,Mercer,USA,1985,3,54,200.66,,,,,
14,Detlef Schrempf,6-10,235,Washington,USA,1985,1,8,208.28,,,,,
15,Charles Oakley,6-9,245,Virginia Union,USA,1985,1,9,205.74,,,,,
16,Dell Curry,6-5,205,Virginia Tech,USA,1986,1,15,195.58,,,,,
17,Arvydas Sabonis,7-3,292,None,Lithuania,1986,1,24,220.98,,,,,
18,Johnny Newman,6-7,210,Richmond,USA,1986,2,29,200.66,,,,,
19,David Wingate,6-5,187,Georgetown,USA,1986,2,44,195.58,,,,,
20,Ron Harper,6-6,215,Miami (OH),USA,1986,1,8,198.12,,,,,
21,David Robinson,7-1,250,Navy,USA,1987,1,1,215.9,,,,,
22,Horace Grant,6-10,245,Clemson,USA,1987,1,10,208.28,,,,,
23,Reggie Miller,6-7,195,California-Los Angeles,USA,1987,1,11,200.66,,,,,
