,PLAYER,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN,Draft Year,Wingspan_cm,Standing_reach_cm
0,Malik Allen,-%,-,-,9' 1'',7' 2.5'',2000,219.71,276.86
1,Harold Arceneaux,-%,-,-,8' 7'',6' 8.5'',2000,204.47,261.62
2,Lamont Barnes,-%,-,-,9' 0'',7' 3.5'',2000,222.25,274.32
3,Mario Bland,-%,-,-,8' 7'',7' 0'',2000,213.36,261.62
4,Primoz Brezec,-%,-,-,9' 2'',7' 2'',2000,218.44,279.4
5,Ernest Brown,-%,-,-,9' 1.5'',7' 1.25'',2000,216.535,278.13
6,Speedy Claxton,-%,-,-,7' 10.5'',6' 0'',2000,182.88,240.03
7,Eric Coley,-%,-,-,8' 6'',6' 11'',2000,210.82,259.08
8,Ed Cota,-%,-,-,8' 0.5'',6' 4'',2000,193.04,245.11
9,Schea Cotton,-%,-,-,8' 4'',6' 7'',2000,200.66,254.0
10,Jamal Crawford,-%,-,-,8' 6.5'',6' 10'',2000,208.28,260.35
11,Caswell Cyrus,-%,-,-,8' 11.5'',7' 2'',2000,218.44,273.05
12,Khalid El-Amin,-%,-,-,7' 9'',6' 1.5'',2000,186.69,236.22
13,Vassil Evtimov,-%,-,-,8' 10.5'',6' 10.5'',2000,209.55,270.51
14,Antonis Fotsis,-%,-,-,8' 10'',6' 8.5'',2000,204.47,269.24
15,Eddie Gill,-%,-,-,7' 9'',6' 4'',2000,193.04,236.22
16,Ceedric Goodwyn,-%,-,-,8' 8.5'',6' 10'',2000,208.28,265.43
17,Marcus Goree,-%,-,-,8' 9.5'',7' 0.5'',2000,214.63,267.97
18,A.J. Granger,-%,-,-,8' 7'',6' 9.5'',2000,207.01,261.62
19,A.J. Guyton,-%,-,-,8' 1.5'',6' 3.75'',2000,192.405,247.65
20,Ron Hale,-%,-,-,8' 8.5'',6' 11'',2000,210.82,265.43
21,Jason Hart,-%,-,-,8' 1.5'',6' 6'',2000,198.12,247.65
22,Donnell Harvey,-%,-,-,8' 9.5'',7' 0.5'',2000,214.63,267.97
23,Johnny Hemsley,-%,-,-,8' 4.5'',6' 8'',2000,203.2,255.27
24,Michael Hermon,-%,-,-,8' 2.5'',6' 6.25'',2000,198.755,250.19
25,Cory Hightower,-%,-,-,8' 5.5'',6' 11'',2000,210.82,257.81
26,Shaheen Holloway,-%,-,-,7' 7'',5' 10'',2000,177.8,231.14000000000001
27,Eddie House,-%,-,-,7' 11'',6' 3.5'',2000,191.77,241.3
28,Jimmie Hunter,-%,-,-,8' 4'',6' 8'',2000,203.2,254.0
29,Jacob Jaacks,-%,-,-,8' 9.5'',6' 11'',2000,210.82,267.97
30,Marko Jaric,-%,-,-,8' 8'',6' 9'',2000,205.74,264.16
31,Nate Johnson,-%,-,-,8' 8'',6' 8.5'',2000,204.47,264.16
32,Kenyon Jones,-%,-,-,9' 0'',7' 1'',2000,215.9,274.32
33,Mark Karcher,-%,-,-,8' 6.5'',6' 8'',2000,203.2,260.35
34,Brandon Kurtz,-%,-,-,8' 10.5'',6' 11.25'',2000,211.455,270.51
35,Dan Langhi,-%,-,-,8' 8'',6' 8'',2000,203.2,264.16
36,Justin Love,-%,-,-,8' 1.5'',6' 4.5'',2000,194.31,247.65
37,Mark Madsen,-%,-,-,8' 8.5'',7' 0.5'',2000,214.63,265.43
38,Dan McClintock,-%,-,-,8' 11'',7' 1.5'',2000,217.17000000000002,271.78000000000003
39,Pete Mickeal,-%,-,-,8' 7.5'',6' 9.5'',2000,207.01,262.89
40,Brian Montonati,-%,-,-,8' 10'',6' 10.5'',2000,209.55,269.24
41,Gabe Muoneke,-%,-,-,8' 9'',7' 0.5'',2000,214.63,266.7
42,Ndongo N'diaye,-%,-,-,9' 4.5'',7' 3.5'',2000,222.25,285.75
