Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Jerry Smith,6-2,190,Louisville,USA,1963,2,12,187.96
Walker Russell,6-0,170,Jacksonville State,,1982,4,78,182.88
Mark Jones,6-6,215,St. Bonaventure,USA,1983,4,82,198.12
Hakeem Olajuwon,7-0,255.0,Houston,Nigeria,1984,1,1,213.36
Kevin Willis,7-0,245.0,Michigan State,USA,1984,1,11,213.36
John Stockton,6-1,175.0,Gonzaga,USA,1984,1,16,185.42000000000002
Michael Jordan,6-6,216.0,North Carolina,USA,1984,1,3,198.12
Sam Perkins,6-9,260.0,North Carolina,USA,1984,1,4,205.74
Otis Thorpe,6-10,248.0,Providence,USA,1984,1,9,208.28
Patrick Ewing,7-0,255.0,Georgetown,Jamaica,1985,1,1,213.36
Karl Malone,6-9,256.0,Louisiana Tech,USA,1985,1,13,205.74
Mario Elie,6-5,225.0,American International,USA,1985,7,160,195.58
A.C. Green,6-9,225.0,Oregon State,USA,1985,1,23,205.74
Terry Porter,6-3,205.0,Wisconsin-Stevens Point,USA,1985,1,24,190.5
Sam Mitchell,6-7,215.0,Mercer,USA,1985,3,54,200.66
Detlef Schrempf,6-10,235.0,Washington,USA,1985,1,8,208.28
Charles Oakley,6-9,245.0,Virginia Union,USA,1985,1,9,205.74
Dell Curry,6-5,205.0,Virginia Tech,USA,1986,1,15,195.58
Arvydas Sabonis,7-3,292.0,None,Lithuania,1986,1,24,220.98
Johnny Newman,6-7,210.0,Richmond,USA,1986,2,29,200.66
David Wingate,6-5,187.0,Georgetown,USA,1986,2,44,195.58
Ron Harper,6-6,215.0,Miami (OH),USA,1986,1,8,198.12
David Robinson,7-1,250.0,Navy,USA,1987,1,1,215.9
Horace Grant,6-10,245.0,Clemson,USA,1987,1,10,208.28
Reggie Miller,6-7,195.0,California-Los Angeles,USA,1987,1,11,200.66
Mark Jackson,6-3,195.0,St. John's (NY),USA,1987,1,18,190.5
Scottie Pippen,6-7,228.0,Central Arkansas,USA,1987,1,5,200.66
Chris Dudley,6-11,260.0,Yale,USA,1987,4,75,210.82
Olden Polynice,6-10,250,Virginia,USA,1987,1,8,208.28
Derrick McKey,6-10,241.0,Alabama,USA,1987,1,9,208.28
Danny Manning,6-10,234.0,Kansas,USA,1988,1,1,208.28
Will Perdue,7-0,240.0,Vanderbilt,USA,1988,1,11,213.36
Dan Majerle,6-6,222.0,Central Michigan,USA,1988,1,14,198.12
Rod Strickland,6-3,185.0,DePaul,USA,1988,1,19,190.5
Kevin Edwards,6-3,210.0,DePaul,USA,1988,1,20,190.5
Mark Bryant,6-9,250.0,Seton Hall,USA,1988,1,21,205.74
Brian Shaw,6-6,200.0,California-Santa Barbara,USA,1988,1,24,198.12
Grant Long,6-9,250.0,Eastern Michigan,USA,1988,2,33,205.74
Dean Garrett,6-11,250.0,Indiana,USA,1988,2,38,210.82
Vernon Maxwell,6-4,190.0,Florida,USA,1988,2,47,193.04
Mitch Richmond,6-5,220.0,Kansas State,USA,1988,1,5,195.58
Steve Kerr,6-3,180.0,Arizona,USA,1988,2,50,190.5
Anthony Mason,6-8,255.0,Tennessee State,USA,1988,3,53,203.2
Hersey Hawkins,6-3,200.0,Bradley,USA,1988,1,6,190.5
Tim Hardaway,6-0,195.0,Texas-El Paso,USA,1989,1,14,182.88
Dana Barros,5-11,165.0,Boston College,USA,1989,1,16,180.34
Shawn Kemp,6-10,280.0,Trinity Valley Community College,USA,1989,1,17,208.28
Danny Ferry,6-10,235.0,Duke,USA,1989,1,2,208.28
Vlade Divac,7-1,260.0,None,Serbia and Mo...,1989,1,26,215.9
Sean Elliott,6-8,220.0,Arizona,USA,1989,1,3,203.2
Clifford Robinson,6-10,225.0,Connecticut,USA,1989,2,36,208.28
Glen Rice,6-8,220.0,Michigan,USA,1989,1,4,203.2
Chucky Brown,6-8,220.0,North Carolina State,USA,1989,2,43,203.2
George McCloud,6-8,225.0,Florida State,USA,1989,1,7,203.2
Derrick Coleman,6-10,270.0,Syracuse,USA,1990,1,1,208.28
Tyrone Hill,6-9,250.0,Xavier,USA,1990,1,11,205.74
Loy Vaught,6-9,240.0,Michigan,USA,1990,1,13,205.74
Duane Causwell,7-0,255.0,Temple,USA,1990,1,18,213.36
Gary Payton,6-4,180.0,Oregon State,USA,1990,1,2,193.04
Elden Campbell,7-0,279.0,Clemson,USA,1990,1,27,213.36
Toni Kukoc,6-11,235.0,None,Croatia,1990,2,29,210.82
Mahmoud Abdul-Rauf,6-1,162.0,Louisiana State,USA,1990,1,3,185.42000000000002
Jud Buechler,6-6,228.0,Arizona,USA,1990,2,38,198.12
Bimbo Coles,6-2,182.0,Virginia Tech,USA,1990,2,40,187.96
Tony Massenburg,6-9,250.0,Maryland,USA,1990,2,43,205.74
Antonio Davis,6-9,230.0,Texas-El Paso,USA,1990,2,45,205.74
Derek Strong,6-9,240.0,Xavier,USA,1990,2,47,205.74
Cedric Ceballos,6-7,220.0,Cal State-Fullerton,USA,1990,2,48,200.66
Kendall Gill,6-5,215.0,Illinois,USA,1990,1,5,195.58
Felton Spencer,7-0,290.0,Louisville,USA,1990,1,6,213.36
Larry Johnson,6-7,235.0,Nevada-Las Vegas,USA,1991,1,1,200.66
Terrell Brandon,5-11,173.0,Oregon,USA,1991,1,11,180.34
Greg Anthony,6-1,180.0,Nevada-Las Vegas,USA,1991,1,12,185.42000000000002
Dale Davis,6-11,252.0,Clemson,USA,1991,1,13,210.82
Victor Alexander,6-10,265.0,Iowa State,USA,1991,1,17,208.28
Kenny Anderson,6-1,168.0,Georgia Tech,USA,1991,1,2,185.42000000000002
Rick Fox,6-7,242.0,North Carolina,Canada,1991,1,24,200.66
Randy Brown,6-2,190.0,New Mexico State,USA,1991,2,31,187.96
