Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
AJ Price,WAS,26,6-2,185,Connecticut,USA,2009,2,52,57,7.7,2.0,3.6,-1.9,1.5%,7.4%,17.7%,50.1%,27.3%
Aaron Brooks,HOU,28,6-0,161,Oregon,USA,2007,1,26,53,7.1,1.5,2.2,-10.0,1.3%,7.0%,17.8%,55.5%,19.0%
Aaron Gray,TOR,28,7-0,270,Pittsburgh,USA,2007,2,49,42,2.8,3.2,0.8,-8.1,9.4%,18.1%,13.1%,54.4%,10.3%
Al Harrington,ORL,33,6-9,245,None,USA,1998,1,25,10,5.1,2.7,1.0,-17.1,4.9%,19.1%,24.2%,43.4%,14.1%
Al Horford,ATL,27,6-10,250,Florida,Dominican Rep...,2007,1,3,74,17.4,10.2,3.2,3.2,7.7%,20.6%,21.9%,56.0%,14.9%
Al Jefferson,UTA,28,6-10,289,None,USA,2004,1,15,78,17.8,9.2,2.1,-3.4,6.3%,23.7%,25.7%,52.2%,11.9%
Al-Farouq Aminu,NOH,22,6-9,215,Wake Forest,USA,2010,1,8,76,7.3,7.7,1.4,-0.6,7.0%,23.0%,14.3%,51.9%,7.6%
Alan Anderson,TOR,30,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,65,10.7,2.3,1.6,-2.8,2.3%,8.4%,23.1%,50.9%,12.5%
Alec Burks,UTA,21,6-6,202,Colorado,USA,2011,1,12,64,7.0,2.3,1.4,4.0,3.3%,9.8%,19.6%,50.7%,12.7%
Alexey Shved,MIN,24,6-6,182,None,Russia,Undrafted,Undrafted,Undrafted,77,8.6,2.3,3.7,-2.1,2.1%,7.5%,20.2%,47.4%,24.8%
Alonzo Gee,CLE,26,6-6,219,Alabama,USA,Undrafted,Undrafted,Undrafted,82,10.3,3.9,1.6,-7.0,2.8%,10.5%,16.6%,50.5%,8.1%
Amar'e Stoudemire,NYK,30,6-11,245,None,USA,2002,1,9,29,14.2,5.0,0.4,2.7,9.2%,13.9%,25.4%,63.7%,3.7%
Amir Johnson,TOR,26,6-9,210,None,USA,2005,2,56,81,10.0,7.5,1.5,5.4,10.1%,17.2%,15.8%,59.1%,8.5%
Anderson Varejao,CLE,30,6-11,260,None,Brazil,2004,2,30,25,14.1,14.4,3.4,-4.0,14.1%,27.2%,17.8%,52.9%,15.7%
Andray Blatche,BKN,26,6-11,260,None,USA,2005,2,49,82,10.3,5.1,1.0,0.3,10.4%,18.5%,25.8%,54.7%,10.8%
Andre Drummond,DET,19,6-10,270,Connecticut,USA,2012,1,9,60,7.9,7.6,0.5,-2.4,13.3%,23.5%,16.7%,57.8%,4.0%
Andre Iguodala,DEN,29,6-6,207,Arizona,USA,2004,1,9,80,13.0,5.3,5.4,6.9,3.0%,11.8%,18.6%,52.0%,22.4%
Andre Miller,DEN,37,6-2,200,Utah,USA,1999,1,8,82,9.6,2.9,5.9,4.2,2.8%,8.0%,17.6%,54.8%,32.6%
Andrea Bargnani,TOR,27,7-0,256,None,Italy,2006,1,1,35,12.7,3.7,1.1,-5.9,2.6%,10.7%,23.0%,48.2%,6.4%
Andrei Kirilenko,MIN,32,6-9,235,None,Russia,1999,1,24,64,12.4,5.7,2.8,-0.5,5.0%,13.7%,17.0%,59.0%,14.4%
Andrew Bogut,GSW,28,7-0,260,Utah,Australia,2005,1,1,32,5.8,7.7,2.1,2.3,8.9%,21.2%,13.4%,46.3%,12.1%
Andrew Goudelock,LAL,24,6-3,200,College of Charleston,USA,2011,2,46,1,0.0,1.0,0.0,-83.5,11.1%,0.0%,14.3%,0.0%,0.0%
Andrew Nicholson,ORL,23,6-9,250,St. Bonaventure,Canada,2012,1,19,75,7.8,3.4,0.6,-6.4,5.6%,15.3%,21.6%,55.7%,6.2%
Andris Biedrins,GSW,27,7-0,242,None,Latvia,2004,1,11,53,0.5,2.9,0.3,-5.7,6.8%,21.9%,3.7%,44.9%,3.9%
Antawn Jamison,LAL,37,6-9,235,North Carolina,USA,1998,1,4,76,9.4,4.8,0.7,0.5,6.6%,14.6%,18.3%,56.1%,5.1%
