,PLAYER,PER,RK,Height_cm,Weight
0,Dirk Nowitzki,28.2,1.0,213.36,245.0
1,LeBron James,28.17,2.0,203.2,240.0
2,Kobe Bryant,28.11,3.0,198.12,220.0
3,Dwyane Wade,27.68,4.0,193.04,212.0
4,Kevin Garnett,26.88,5.0,210.82,220.0
5,Elton Brand,26.67,6.0,203.2,254.0
6,Allen Iverson,26.02,7.0,182.88,165.0
7,Yao Ming,25.78,8.0,228.6,310.0
8,Shaquille O'Neal,24.47,9.0,215.9,325.0
9,Gilbert Arenas,23.87,10.0,193.04,210.0
10,Paul Pierce,23.71,11.0,198.12,230.0
11,Shawn Marion,23.66,12.0,200.66,228.0
12,Chauncey Billups,23.43,13.0,190.5,202.0
13,Steve Nash,23.29,14.0,190.5,195.0
14,Chris Bosh,23.23,15.0,208.28,230.0
15,Tim Duncan,23.13,16.0,210.82,260.0
16,Pau Gasol,22.76,17.0,213.36,240.0
17,Manu Ginobili,22.43,18.0,198.12,205.0
18,Ray Allen,22.28,19.0,195.58,205.0
19,Chris Paul,22.14,20.0,182.88,175.0
20,Carmelo Anthony,22.1,21.0,203.2,230.0
21,Tracy McGrady,22.03,22.0,203.2,210.0
22,Zydrunas Ilgauskas,21.98,23.0,220.98,260.0
23,Zydrunas Ilgauskas,21.98,23.0,220.98,260.0
24,Vince Carter,21.68,24.0,198.12,220.0
25,Carlos Boozer,21.48,25.0,205.74,258.0
26,Michael Redd,21.34,26.0,198.12,215.0
27,Gerald Wallace,21.32,27.0,200.66,215.0
28,Tony Parker,20.89,28.0,187.96,177.0
29,Andrei Kirilenko,20.71,29.0,205.74,225.0
30,Jermaine O'Neal,20.5,30.0,210.82,260.0
31,Rashard Lewis,20.04,31.0,208.28,215.0
32,Marcus Camby,20.0,32.0,210.82,230.0
33,Mike James,19.88,33.0,187.96,190.0
34,David West,19.74,34.0,205.74,240.0
35,Jameer Nelson,19.55,35.0,182.88,190.0
36,Alonzo Mourning,19.45,36.0,208.28,261.0
37,Dwight Howard,19.37,37.0,210.82,265.0
38,Josh Howard,19.37,,200.66,210.0
39,Jason Richardson,19.28,39.0,198.12,225.0
40,Jason Kidd,19.2,40.0,193.04,210.0
41,Mehmet Okur,19.08,41.0,210.82,249.0
42,Grant Hill,19.06,42.0,203.2,225.0
43,Richard Jefferson,19.02,43.0,200.66,225.0
44,Corey Maggette,18.89,44.0,198.12,225.0
45,Sam Cassell,18.56,45.0,190.5,185.0
46,Jason Terry,18.49,46.0,187.96,180.0
47,Chris Webber,18.47,47.0,208.28,245.0
48,Baron Davis,18.38,48.0,190.5,215.0
49,Richard Hamilton,18.25,49.0,200.66,193.0
50,Channing Frye,18.12,50.0,210.82,248.0
51,Chuck Hayes,18.07,51.0,198.12,242.0
52,Joe Johnson,17.95,52.0,200.66,230.0
53,Mike Bibby,17.93,53.0,187.96,190.0
54,Antawn Jamison,17.78,54.0,205.74,235.0
55,Wally Szczerbiak,17.75,55.0,200.66,244.0
56,Rasheed Wallace,17.7,56.0,210.82,230.0
57,Drew Gooden,17.67,57.0,208.28,242.0
58,Ben Wallace,17.54,58.0,205.74,240.0
59,Brad Miller,17.52,59.0,213.36,261.0
60,Devin Harris,17.51,60.0,190.5,185.0
61,Brevin Knight,17.4,61.0,177.8,170.0
62,Chris Wilcox,17.35,62.0,208.28,235.0
63,Jake Tsakalidis,17.35,,218.44,290.0
64,Shareef Abdur-Rahim,17.31,64.0,205.74,245.0
65,Boris Diaw,17.31,,203.2,215.0
66,Mike Miller,17.3,66.0,203.2,218.0
67,Dan Gadzuric,17.28,67.0,210.82,240.0
68,Caron Butler,17.11,68.0,200.66,228.0
69,Lamar Odom,17.02,69.0,208.28,230.0
70,Zach Randolph,16.94,70.0,205.74,253.0
71,Zach Randolph,16.94,70.0,205.74,253.0
72,Hedo Turkoglu,16.8,71.0,208.28,220.0
73,Kenyon Martin,16.75,72.0,205.74,240.0
74,Peja Stojakovic,16.71,73.0,208.28,229.0
75,Bonzi Wells,16.68,74.0,195.58,210.0
76,Stephon Marbury,16.52,75.0,187.96,205.0
77,Charlie Villanueva,16.45,76.0,210.82,240.0
78,Ruben Patterson,16.4,77.0,195.58,223.0
79,Andre Miller,16.4,,187.96,205.0
80,Matt Harpring,16.31,79.0,200.66,231.0
81,Al Jefferson,16.23,80.0,208.28,265.0
82,Speedy Claxton,16.2,81.0,180.34,170.0
83,Joe Smith,16.13,82.0,208.28,225.0
84,Andres Nocioni,16.12,83.0,200.66,225.0
85,Al Harrington,16.08,84.0,205.74,245.0
86,Luke Ridnour,16.04,85.0,185.42000000000002,167.0
87,Troy Murphy,15.93,86.0,210.82,245.0
88,Luol Deng,15.86,87.0,205.74,220.0
89,Josh Childress,15.83,88.0,203.2,210.0
90,Ike Diogu,15.81,89.0,203.2,255.0
91,Earl Boykins,15.7,90.0,165.1,133.0
92,Brian Cook,15.7,,205.74,258.0
93,Carlos Arroyo,15.68,92.0,187.96,202.0
94,Ricky Davis,15.64,93.0,200.66,195.0
95,Josh Smith,15.63,94.0,205.74,225.0
96,Tyronn Lue,15.59,95.0,182.88,178.0
97,Kirk Hinrich,15.56,96.0,190.5,190.0
98,Jamal Crawford,15.54,97.0,195.58,190.0
99,Antonio McDyess,15.53,98.0,205.74,245.0
100,David Lee,15.43,99.0,205.74,249.0
101,Morris Peterson,15.34,100.0,200.66,220.0
102,Joel Przybilla,15.32,101.0,215.9,255.0
103,Chris Mihm,15.32,,213.36,265.0
104,Austin Croshere,15.31,103.0,208.28,235.0
105,Eddie House,15.3,104.0,185.42000000000002,175.0
106,Primoz Brezec,15.29,105.0,215.9,252.0
107,Steve Francis,15.29,,190.5,200.0
108,Beno Udrih,15.28,107.0,190.5,200.0
109,Metta World Peace,15.24,108.0,200.66,260.0
110,Darko Milicic,15.21,109.0,213.36,245.0
111,Andrew Bogut,15.21,,213.36,245.0
112,Leandro Barbosa,15.14,111.0,190.5,188.0
113,Jeff Foster,15.12,112.0,210.82,250.0
114,Delonte West,15.11,113.0,193.04,180.0
115,Kenny Thomas,15.08,114.0,200.66,245.0
116,Mo Williams,15.05,115.0,185.42000000000002,185.0
117,Jason Williams,15.04,116.0,185.42000000000002,180.0
118,Zaza Pachulia,15.03,117.0,210.82,265.0
119,Zaza Pachulia,15.03,117.0,210.82,265.0
120,Nazr Mohammed,15.02,118.0,208.28,250.0
121,Chris Kaman,15.01,119.0,213.36,265.0
122,Marquis Daniels,15.0,120.0,198.12,200.0
123,Emeka Okafor,14.94,121.0,208.28,252.0
124,Brent Barry,14.92,122.0,200.66,210.0
125,Kevin Martin,14.9,123.0,200.66,185.0
126,Tayshaun Prince,14.87,124.0,205.74,215.0
127,Derek Fisher,14.87,,185.42000000000002,205.0
128,Andre Iguodala,14.86,126.0,198.12,207.0
129,Jackie Butler,14.79,127.0,208.28,260.0
130,Anderson Varejao,14.75,128.0,208.28,240.0
131,Charlie Bell,14.74,129.0,190.5,200.0
132,Danny Granger,14.74,,205.74,228.0
133,Shane Battier,14.73,131.0,203.2,220.0
134,Eddie Jones,14.71,132.0,198.12,200.0
135,Stromile Swift,14.71,,205.74,230.0
136,Kirk Snyder,14.67,134.0,198.12,225.0
137,Bobby Jackson,14.64,135.0,185.42000000000002,185.0
138,Juan Dixon,14.59,136.0,190.5,164.0
139,Ben Gordon,14.59,,190.5,200.0
140,Earl Watson,14.57,138.0,185.42000000000002,195.0
141,Steve Blake,14.56,139.0,190.5,172.0
142,Jerry Stackhouse,14.56,,198.12,218.0
143,Nenad Krstic,14.49,141.0,213.36,240.0
144,Antoine Walker,14.47,142.0,205.74,245.0
145,Melvin Ely,14.36,143.0,208.28,261.0
146,Raymond Felton,14.3,144.0,185.42000000000002,198.0
147,Anthony Johnson,14.27,145.0,190.5,200.0
148,Samuel Dalembert,14.22,146.0,210.82,250.0
149,Chris Andersen,14.18,147.0,208.28,228.0
150,Maurice Evans,14.11,148.0,195.58,220.0
151,Ryan  Gomes,14.09,149.0,200.66,
152,Larry Hughes,14.08,150.0,195.58,184.0
153,Nick Collison,14.01,151.0,205.74,255.0
154,Erick Dampier,13.96,152.0,210.82,265.0
155,Matt Carroll,13.96,,198.12,212.0
156,Jalen Rose,13.95,154.0,203.2,215.0
157,Steven Hunter,13.92,155.0,213.36,240.0
158,Michael Sweetney,13.88,156.0,203.2,270.0
159,Bobby Simmons,13.87,157.0,198.12,228.0
160,Keith Van Horn,13.84,158.0,208.28,245.0
161,Brendan Haywood,13.82,159.0,213.36,263.0
162,Damon Stoudamire,13.79,160.0,177.8,174.0
163,Matt Bonner,13.79,,208.28,240.0
164,Antonio Daniels,13.77,162.0,193.04,205.0
165,Etan Thomas,13.7,163.0,208.28,260.0
166,Udonis Haslem,13.7,,203.2,235.0
167,Andris Biedrins,13.69,165.0,210.82,245.0
168,Marcus Banks,13.68,166.0,187.96,200.0
169,Darius Songaila,13.67,167.0,203.2,240.0
170,Stephen  Jackson,13.65,168.0,203.2,
