,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,31.78,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Chris Paul,29.77,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
2,3,Dwyane Wade,28.92,507.0,6-4,220.0,Marquette,USA,2003.0,1,5,193.04,295.0,6.70%,-,-,8' 6'',6' 10.75''
3,4,Dwight Howard,27.64,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
4,5,Dirk Nowitzki,25.74,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
5,6,Pau Gasol,25.09,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
6,7,Kobe Bryant,24.91,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
7,8,Chris Bosh,24.87,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
8,9,Tim Duncan,24.06,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
9,10,Yao Ming,23.74,420.0,7-6,310.0,None,China,2002.0,1,1,228.6,,,,,,
10,11,David Lee,22.94,583.0,6-9,240.0,Florida,USA,2005.0,1,30,205.74,427.0,-%,-,-,8' 10.5'',7' 0''
11,12,Kevin Durant,22.69,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
12,13,Deron Williams,22.52,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
13,14,Troy Murphy,22.15,376.0,6-11,245.0,Notre Dame,USA,2001.0,1,14,210.82,119.0,11.70%,-,-,8' 9.5'',6' 11''
14,15,Antawn Jamison,22.12,267.0,6-9,235.0,North Carolina,USA,1998.0,1,4,205.74,,,,,,
15,16,Brandon Roy,22.08,663.0,6-6,229.0,Washington,USA,2006.0,1,6,198.12,520.0,7.60%,-,-,8' 5'',6' 8''
16,17,David West,21.12,477.0,6-9,240.0,Xavier,USA,2003.0,1,18,205.74,298.0,8.00%,-,-,9' 0.25'',7' 4.25''
17,18,Tony Parker,20.88,391.0,6-2,185.0,None,France,2001.0,1,28,187.96,,,,,,
18,19,Shaquille O'Neal,20.55,84.0,7-1,315.0,Louisiana State,USA,1992.0,1,1,215.9,,,,,,
19,20,Carmelo Anthony,20.48,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
20,21,Gerald Wallace,20.46,388.0,6-7,220.0,Alabama,USA,2001.0,1,25,200.66,,,,,,
21,22,Andre Iguodala,20.07,560.0,6-6,207.0,Arizona,USA,2004.0,1,9,198.12,334.0,6.70%,-,-,8' 9.5'',6' 11''
22,23,Steve Nash,20.0,182.0,6-3,178.0,Santa Clara,Canada,1996.0,1,15,190.5,,,,,,
23,24,Rajon Rondo,19.82,629.0,6-1,186.0,Kentucky,USA,2006.0,1,21,185.42,,,,,,
24,25,Vince Carter,19.61,271.0,6-6,220.0,North Carolina,USA,1998.0,1,5,198.12,,,,,,
25,26,Chauncey Billups,19.41,224.0,6-3,210.0,Colorado,USA,1997.0,1,3,190.5,,,,,,
26,27,Jason Kidd,19.29,131.0,6-4,210.0,California,USA,1994.0,1,2,193.04,,,,,,
27,28,Paul Pierce,19.12,240.0,6-7,235.0,Kansas,USA,1998.0,1,10,200.66,,,,,,
28,29,LaMarcus Aldridge,19.1,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
29,30,Andre Miller,18.98,319.0,6-2,200.0,Utah,USA,1999.0,1,8,187.96,,,,,,
30,31, Nene,18.91,,,,,,,,,,,,,,,
31,32,Joe Johnson,18.54,372.0,6-7,240.0,Arkansas,USA,2001.0,1,10,200.66,111.0,6.70%,-,-,8' 9'',6' 9''
32,33,Mehmet Okur,18.51,401.0,6-11,260.0,None,Turkey,2001.0,2,37,210.82,,,,,,
33,34,Emeka Okafor,18.49,526.0,6-10,255.0,Connecticut,USA,2004.0,1,2,208.28,353.0,5.30%,-,-,9' 2.5'',7' 4''
34,35,Al Horford,17.99,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
35,36,Paul Millsap,17.96,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
36,37,Rashard Lewis,17.74,261.0,6-10,230.0,None,USA,1998.0,2,32,208.28,,,,,,
37,38,Josh Smith,17.45,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
38,39,Brook Lopez,17.39,718.0,7-0,265.0,Stanford,USA,2008.0,1,10,213.36,663.0,6.30%,-,-,9' 5'',7' 5.5''
39,40,Derrick Rose,17.27,717.0,6-3,190.0,Memphis,USA,2008.0,1,1,190.5,683.0,4.60%,-,-,8' 2.5'',6' 8''
40,41,Lamar Odom,17.06,309.0,6-10,230.0,Rhode Island,USA,1999.0,1,4,208.28,,,,,,
41,42,Luis Scola,17.03,461.0,6-9,245.0,None,Argentina,2002.0,2,55,205.74,,,,,,
42,43,Al Harrington,16.9,254.0,6-9,250.0,None,USA,1998.0,1,25,205.74,,,,,,
43,44,Ben Gordon,16.89,537.0,6-3,200.0,Connecticut,USA,2004.0,1,3,190.5,329.0,5.30%,-,-,8' 3'',6' 8.5''
44,45,Brad Miller,16.74,1841.0,7-0,261.0,Purdue,USA,0.0,Undrafted,Undrafted,213.36,,,,,,
45,46,Ray Allen,16.59,201.0,6-5,205.0,Connecticut,USA,1996.0,1,5,195.58,,,,,,
46,47,John Salmons,16.49,438.0,6-6,207.0,Miami (FL),USA,2002.0,1,26,198.12,208.0,-%,-,-,8' 8'',6' 10.25''
