Player,Height_cm
Jerry Smith,187.96
Walker Russell,182.88
Mark Jones,198.12
Hakeem Olajuwon,213.36
Kevin Willis,213.36
John Stockton,185.42
Michael Jordan,198.12
Sam Perkins,205.74
Otis Thorpe,208.28
Patrick Ewing,213.36
Karl Malone,205.74
Mario Elie,195.58
A.C. Green,205.74
Terry Porter,190.5
Sam Mitchell,200.66
Detlef Schrempf,208.28
Charles Oakley,205.74
Dell Curry,195.58
Arvydas Sabonis,220.98
Johnny Newman,200.66
David Wingate,195.58
Ron Harper,198.12
David Robinson,215.9
Horace Grant,208.28
Reggie Miller,200.66
Mark Jackson,190.5
Scottie Pippen,200.66
Chris Dudley,210.82
Olden Polynice,208.28
Derrick McKey,208.28
Danny Manning,208.28
Will Perdue,213.36
Dan Majerle,198.12
Rod Strickland,190.5
Kevin Edwards,190.5
Mark Bryant,205.74
Brian Shaw,198.12
Grant Long,205.74
Dean Garrett,210.82
Vernon Maxwell,193.04
Mitch Richmond,195.58
Steve Kerr,190.5
Anthony Mason,203.2
Hersey Hawkins,190.5
Tim Hardaway,182.88
Dana Barros,180.34
Shawn Kemp,208.28
Danny Ferry,208.28
Vlade Divac,215.9
Sean Elliott,203.2
Clifford Robinson,208.28
Glen Rice,203.2
Chucky Brown,203.2
George McCloud,203.2
Derrick Coleman,208.28
Tyrone Hill,205.74
Loy Vaught,205.74
Duane Causwell,213.36
Gary Payton,193.04
Elden Campbell,213.36
Toni Kukoc,210.82
Mahmoud Abdul-Rauf,185.42
Jud Buechler,198.12
Bimbo Coles,187.96
Tony Massenburg,205.74
Antonio Davis,205.74
Derek Strong,205.74
Cedric Ceballos,200.66
Kendall Gill,195.58
Felton Spencer,213.36
Larry Johnson,200.66
Terrell Brandon,180.34
Greg Anthony,185.42
Dale Davis,210.82
Victor Alexander,208.28
Kenny Anderson,185.42
Rick Fox,200.66
Randy Brown,187.96
Dikembe Mutombo,218.44
Doug Overton,190.5
Ike Austin,208.28
Steven Smith,203.2
Zan Tabak,213.36
Stacey Augmon,203.2
Shaquille O'Neal,215.9
Adam Keefe,205.74
Robert Horry,208.28
Bryant Stith,195.58
Anthony Peeler,193.04
Doug Christie,198.12
Tracy Murray,200.66
Alonzo Mourning,208.28
Hubert Davis,195.58
Jon Barry,195.58
Oliver Miller,205.74
Latrell Sprewell,195.58
P.J. Brown,210.82
Christian Laettner,210.82
Sean Rooks,208.28
Brent Price,185.42
Jim Jackson,198.12
Popeye Jones,203.2
LaPhonso Ellis,203.2
Tom Gugliotta,208.28
Walt Williams,203.2
Clar. Weatherspoon,200.66
Chris Webber,208.28
Lindsey Hunter,187.96
Allan Houston,198.12
George Lynch,203.2
Shawn Bradley,228.6
Scott Burrell,200.66
Chris Mills,200.66
Ervin Johnson,210.82
Sam Cassell,190.5
Corie Blount,208.28
Lucious Harris,195.58
Anfernee Hardaway,200.66
Nick Van Exel,185.42
Jamal Mashburn,203.2
Bryon Russell,200.66
Chris Whitney,182.88
Calbert Cheaney,200.66
Vin Baker,210.82
Rodney Rogers,200.66
Glenn Robinson,200.66
Eddie Jones,198.12
Carlos Rogers,210.82
Jalen Rose,203.2
Eric Piatkowski,198.12
Aaron McKie,195.58
Jason Kidd,193.04
Wesley Person,198.12
Monty Williams,203.2
Charlie Ward,187.96
Grant Hill,203.2
Howard Eisley,187.96
Michael Smith,203.2
Anthony Miller,205.74
Donyell Marshall,205.74
Voshon Lenard,193.04
Juwan Howard,205.74
Lawrence Funderburke,205.74
Anthony Goldwire,187.96
Zeljko Rebraca,213.36
Lamond Murray,200.66
Brian Grant,205.74
Eric Montross,213.36
Joe Smith,208.28
Kurt Thomas,205.74
Gary Trent,203.2
Cherokee Parks,210.82
Corliss Williamson,200.66
Eric Williams,203.2
Brent Barry,198.12
Alan Henderson,205.74
Bob Sura,195.58
Theo Ratliff,208.28
Antonio McDyess,205.74
Jason Caffey,203.2
Michael Finley,200.66
Travis Best,180.34
Greg Ostertag,218.44
Cory Alexander,185.42
Jerry Stackhouse,198.12
Dragan Tarlac,210.82
Andrew DeClercq,208.28
Donny Marshall,200.66
Rasheed Wallace,210.82
Eric Snow,190.5
Tyus Edney,177.8
Kevin Garnett,210.82
Fred Hoiberg,195.58
Chris Carr,198.12
Don Reid,203.2
Bryant Reeves,213.36
Damon Stoudamire,177.8
Allen Iverson,182.88
Erick Dampier,210.82
Vitaly Potapenko,208.28
Kobe Bryant,198.12
Peja Stojakovic,205.74
Steve Nash,190.5
Tony Delk,187.96
Jermaine O'Neal,210.82
John Wallace,205.74
Walter McCarty,208.28
Marcus Camby,210.82
Zydrunas Ilgauskas,220.98
Efthimios Rentzias,210.82
Derek Fisher,185.42
Jerome Williams,205.74
Travis Knight,213.36
Shareef Abdur-Rahim,205.74
Othella Harrington,205.74
Moochie Norris,185.42
Jeff McInnis,193.04
Stephon Marbury,187.96
Randy Livingston,193.04
Malik Rose,200.66
Amal McCaskill,210.82
Ray Allen,195.58
Mark Pope,208.28
Shandon Anderson,198.12
Antoine Walker,205.74
Lorenzen Wright,210.82
Kerry Kittles,195.58
Samaki Walker,205.74
Tim Duncan,210.82
Danny Fortson,203.2
Tariq Abdul-Wahad,198.12
Austin Croshere,208.28
Derek Anderson,195.58
Maurice Taylor,205.74
Kelvin Cato,210.82
Brevin Knight,177.8
Scot Pollard,210.82
Keith Van Horn,208.28
Paul Grant,213.36
Anthony Parker,198.12
Bobby Jackson,185.42
John Thomas,205.74
Charles Smith,193.04
Jacque Vaughn,185.42
Chauncey Billups,190.5
Marc Jackson,208.28
Anthony Johnson,190.5
Antonio Daniels,193.04
Stephen Jackson,203.2
Cedric Henderson,200.66
Alvin Williams,195.58
Predrag Drobnjak,210.82
Tony Battie,210.82
Chris Crawford,205.74
Mark Blount,213.36
Ron Mercer,200.66
Tim Thomas,208.28
Adonal Foyle,208.28
Tracy McGrady,203.2
Michael Olowokandi,213.36
Paul Pierce,200.66
