"X","Unnamed..0","Player","Height","Weight","College","Country","Draft_Year","Draft_Round","Draft_Number","Height_cm","Body_fat","Hand_length","Hand_width","Standing_reach","Wingspan","Wingspan_cm","Standing_reach_cm","period","Nationality"
0,0,"Jerry Smith","6-2",190,"Louisville","USA",1963,2,"12",187.96,"","","","",NA,NA,NA,"before 2002","US player"
1,1,"Walker Russell","6-0",170,"Jacksonville State","",1982,4,"78",182.88,"","","","",NA,NA,NA,"before 2002","Foreign player"
2,2,"Mark Jones","6-6",215,"St. Bonaventure","USA",1983,4,"82",198.12,"","","","",NA,NA,NA,"before 2002","US player"
3,3,"Hakeem Olajuwon","7-0",255,"Houston","Nigeria",1984,1,"1",213.36,"","","","",NA,NA,NA,"before 2002","Foreign player"
4,4,"Kevin Willis","7-0",245,"Michigan State","USA",1984,1,"11",213.36,"","","","",NA,NA,NA,"before 2002","US player"
5,5,"John Stockton","6-1",175,"Gonzaga","USA",1984,1,"16",185.42,"","","","",NA,NA,NA,"before 2002","US player"
6,6,"Michael Jordan","6-6",216,"North Carolina","USA",1984,1,"3",198.12,"","","","",NA,NA,NA,"before 2002","US player"
7,7,"Sam Perkins","6-9",260,"North Carolina","USA",1984,1,"4",205.74,"","","","",NA,NA,NA,"before 2002","US player"
8,8,"Otis Thorpe","6-10",248,"Providence","USA",1984,1,"9",208.28,"","","","",NA,NA,NA,"before 2002","US player"
9,9,"Patrick Ewing","7-0",255,"Georgetown","Jamaica",1985,1,"1",213.36,"","","","",NA,NA,NA,"before 2002","Foreign player"
10,10,"Karl Malone","6-9",256,"Louisiana Tech","USA",1985,1,"13",205.74,"","","","",NA,NA,NA,"before 2002","US player"
11,11,"Mario Elie","6-5",225,"American International","USA",1985,7,"160",195.58,"","","","",NA,NA,NA,"before 2002","US player"
12,12,"A.C. Green","6-9",225,"Oregon State","USA",1985,1,"23",205.74,"","","","",NA,NA,NA,"before 2002","US player"
13,13,"Terry Porter","6-3",205,"Wisconsin-Stevens Point","USA",1985,1,"24",190.5,"","","","",NA,NA,NA,"before 2002","US player"
14,14,"Sam Mitchell","6-7",215,"Mercer","USA",1985,3,"54",200.66,"","","","",NA,NA,NA,"before 2002","US player"
15,15,"Detlef Schrempf","6-10",235,"Washington","USA",1985,1,"8",208.28,"","","","",NA,NA,NA,"before 2002","US player"
16,16,"Charles Oakley","6-9",245,"Virginia Union","USA",1985,1,"9",205.74,"","","","",NA,NA,NA,"before 2002","US player"
17,17,"Dell Curry","6-5",205,"Virginia Tech","USA",1986,1,"15",195.58,"","","","",NA,NA,NA,"before 2002","US player"
18,18,"Arvydas Sabonis","7-3",292,"None","Lithuania",1986,1,"24",220.98,"","","","",NA,NA,NA,"before 2002","Foreign player"
19,19,"Johnny Newman","6-7",210,"Richmond","USA",1986,2,"29",200.66,"","","","",NA,NA,NA,"before 2002","US player"
20,20,"David Wingate","6-5",187,"Georgetown","USA",1986,2,"44",195.58,"","","","",NA,NA,NA,"before 2002","US player"
21,21,"Ron Harper","6-6",215,"Miami (OH)","USA",1986,1,"8",198.12,"","","","",NA,NA,NA,"before 2002","US player"
22,22,"David Robinson","7-1",250,"Navy","USA",1987,1,"1",215.9,"","","","",NA,NA,NA,"before 2002","US player"
23,23,"Horace Grant","6-10",245,"Clemson","USA",1987,1,"10",208.28,"","","","",NA,NA,NA,"before 2002","US player"
24,24,"Reggie Miller","6-7",195,"California-Los Angeles","USA",1987,1,"11",200.66,"","","","",NA,NA,NA,"before 2002","US player"
25,25,"Mark Jackson","6-3",195,"St. John's (NY)","USA",1987,1,"18",190.5,"","","","",NA,NA,NA,"before 2002","US player"
26,26,"Scottie Pippen","6-7",228,"Central Arkansas","USA",1987,1,"5",200.66,"","","","",NA,NA,NA,"before 2002","US player"
