,PLAYER,TEAM,PER,RK,Height_cm,Weight
0,Giannis Antetokounmpo,MIL,30.95,1.0,210.82,242.0
1,James Harden,HOU,30.62,2.0,195.58,220.0
2,Anthony Davis,NO,30.32,3.0,208.28,253.0
3,Karl-Anthony Towns,MIN,26.38,4.0,213.36,248.0
4,Nikola Jokic,DEN,26.38,5.0,213.36,250.0
5,Joel Embiid,PHI,26.21,6.0,213.36,250.0
6,Kawhi Leonard,TOR,25.89,7.0,200.66,230.0
7,LeBron James,LAL,25.64,8.0,203.2,250.0
8,Nikola Vucevic,ORL,25.53,9.0,213.36,260.0
9,Rudy Gobert,UTAH,24.6,10.0,215.9,245.0
10,Jonas Valanciunas,TOR,24.47,11.0,213.36,265.0
11,Stephen Curry,GS,24.45,12.0,190.5,190.0
12,Kyrie Irving,BOS,24.37,13.0,190.5,193.0
13,Kevin Durant,GS,24.26,14.0,205.74,240.0
14,Boban Marjanovic,LAC,24.25,15.0,220.98,290.0
15,Clint Capela,HOU,23.84,16.0,208.28,240.0
16,Damian Lillard,POR,23.78,17.0,190.5,195.0
17,Hassan Whiteside,MIA,23.52,18.0,213.36,265.0
18,Andre Drummond,DET,23.49,19.0,210.82,279.0
19,Montrezl Harrell,LAC,23.44,20.0,203.2,240.0
20,Jusuf Nurkic,POR,23.41,21.0,213.36,275.0
21,Paul George,OKC,23.32,22.0,205.74,220.0
22,LaMarcus Aldridge,SA,22.98,23.0,210.82,260.0
23,Enes Kanter,NY,22.36,24.0,210.82,250.0
24,Mitchell Robinson,NY,22.01,25.0,215.9,240.0
25,Domantas Sabonis,IND,21.99,26.0,210.82,240.0
26,Derrick Favors,UTAH,21.89,27.0,208.28,265.0
27,JaVale McGee,LAL,21.88,28.0,213.36,270.0
28,John Collins,ATL,21.85,29.0,208.28,235.0
29,Kemba Walker,CHA,21.72,30.0,185.42000000000002,184.0
30,Kenneth Faried,HOU,21.62,31.0,203.2,220.0
31,Mike Conley,MEM,21.46,32.0,185.42000000000002,175.0
32,DeMarcus Cousins,GS,21.44,33.0,210.82,270.0
33,Lou Williams,LAC,21.3,34.0,185.42000000000002,175.0
34,Russell Westbrook,OKC,21.14,35.0,190.5,200.0
35,Thomas Bryant,WSH,21.02,36.0,210.82,248.0
36,Danilo Gallinari,LAC,21.02,,208.28,225.0
37,Julius Randle,NO,21.02,,205.74,250.0
38,Blake Griffin,DET,21.02,,208.28,250.0
39,Bradley Beal,WSH,20.84,40.0,195.58,207.0
40,Richaun Holmes,PHX,20.72,41.0,208.28,235.0
41,Deandre Ayton,PHX,20.54,42.0,215.9,250.0
42,Dwight Powell,DAL,20.45,43.0,210.82,240.0
43,Willy Hernangomez,CHA,20.41,44.0,210.82,240.0
44,Devin Booker,PHX,20.3,45.0,198.12,210.0
45,Jimmy Butler,MIN,20.29,46.0,203.2,232.0
46,Al Horford,BOS,20.21,47.0,208.28,245.0
47,Ben Simmons,PHI,20.07,48.0,208.28,230.0
48,Chris Paul,HOU,19.71,49.0,182.88,175.0
49,DeMar DeRozan,SA,19.61,50.0,200.66,220.0
50,Luka Doncic,DAL,19.61,51.0,200.66,218.0
51,Derrick Rose,MIN,19.52,52.0,190.5,200.0
52,Kevin Love,CLE,19.5,53.0,208.28,251.0
53,D'Angelo Russell,BKN,19.48,54.0,195.58,198.0
54,Jrue Holiday,NO,19.43,55.0,193.04,205.0
55,Jakob Poeltl,SA,19.38,56.0,213.36,230.0
56,Nerlens Noel,OKC,19.32,57.0,210.82,220.0
57,Eric Bledsoe,MIL,19.31,58.0,185.42000000000002,205.0
58,Khem Birch,ORL,19.19,59.0,205.74,233.0
59,DeAndre Jordan,DAL,19.04,60.0,210.82,265.0
60,Marvin Bagley III,SAC,18.93,61.0,210.82,234.0
61,Ivica Zubac,LAC,18.92,62.0,215.9,240.0
62,Serge Ibaka,TOR,18.8,63.0,208.28,235.0
63,Zach LaVine,CHI,18.79,64.0,195.58,200.0
64,Pascal Siakam,TOR,18.74,65.0,205.74,230.0
65,Joakim Noah,MEM,18.63,66.0,210.82,230.0
66,Larry Nance Jr.,CLE,18.58,67.0,205.74,230.0
67,Jarrett Allen,BKN,18.57,68.0,210.82,237.0
68,Steven Adams,OKC,18.55,69.0,213.36,265.0
69,Tristan Thompson,CLE,18.45,70.0,208.28,238.0
70,De'Aaron Fox,SAC,18.18,71.0,190.5,175.0
71,Gorgui Dieng,MIN,18.17,72.0,210.82,252.0
72,Myles Turner,IND,18.1,73.0,210.82,250.0
73,John Wall,WSH,18.09,74.0,193.04,210.0
74,Jahlil Okafor,NO,18.0,75.0,210.82,275.0
